"CCT(proX)","CCC(proT)","CCA(proU)","CCG(proY)","geneLocus","geneType","geneSymbol"
3,35,5,69,"Rv0355c","CDS","PPE8"
NA,8,2,8,"Rv0356c","CDS","Rv0356c"
2,5,NA,15,"Rv0357c","CDS","purA"
1,4,1,7,"Rv0358","CDS","Rv0358"
NA,5,NA,10,"Rv0359","CDS","Rv0359"
2,3,1,5,"Rv0360c","CDS","Rv0360c"
2,5,4,8,"Rv0361","CDS","Rv0361"
1,6,2,14,"Rv0362","CDS","mgtE"
2,5,1,7,"Rv0363c","CDS","fba"
NA,5,2,12,"Rv0364","CDS","Rv0364"
NA,3,3,10,"Rv0365c","CDS","Rv0365c"
2,6,3,4,"Rv0366c","CDS","Rv0366c"
NA,1,1,2,"Rv0367c","CDS","Rv0367c"
2,12,3,16,"Rv0368c","CDS","Rv0368c"
2,2,NA,2,"Rv0369c","CDS","Rv0369c"
1,8,2,7,"Rv0370c","CDS","Rv0370c"
1,2,3,4,"Rv0371c","CDS","Rv0371c"
NA,5,1,11,"Rv0372c","CDS","Rv0372c"
1,9,4,38,"Rv0373c","CDS","Rv0373c"
NA,4,NA,4,"Rv0374c","CDS","Rv0374c"
NA,7,NA,9,"Rv0375c","CDS","Rv0375c"
NA,8,2,12,"Rv0376c","CDS","Rv0376c"
2,5,2,10,"Rv0377","CDS","Rv0377"
NA,3,NA,NA,"Rv0378","CDS","Rv0378"
NA,1,NA,2,"Rv0379","CDS","secE2"
NA,2,NA,2,"Rv0380c","CDS","Rv0380c"
2,5,NA,14,"Rv0381c","CDS","Rv0381c"
1,1,NA,2,"Rv0382c","CDS","pyrE"
1,6,2,16,"Rv0383c","CDS","Rv0383c"
NA,15,NA,21,"Rv0384c","CDS","clpB"
1,8,6,15,"Rv0385","CDS","Rv0385"
NA,6,4,21,"Rv0386","CDS","Rv0386"
2,10,4,19,"Rv0387c","CDS","Rv0387c"
NA,5,1,4,"Rv0388c","CDS","PPE9"
5,7,3,12,"Rv0389","CDS","purT"
NA,2,1,4,"Rv0390","CDS","Rv0390"
NA,5,2,12,"Rv0391","CDS","metZ"
NA,7,2,9,"Rv0392c","CDS","ndhA"
2,11,4,21,"Rv0393","CDS","Rv0393"
1,5,1,10,"Rv0394c","CDS","Rv0394c"
1,4,1,3,"Rv0395","CDS","Rv0395"
NA,3,1,4,"Rv0396","CDS","Rv0396"
2,1,3,3,"Rv0397A","CDS","Rv0397A"
1,7,3,7,"Rv0397","CDS","Rv0397"
NA,5,NA,7,"Rv0398c","CDS","Rv0398c"
1,12,4,13,"Rv0399c","CDS","lpqK"
NA,8,1,10,"Rv0400c","CDS","fadE7"
NA,1,2,2,"Rv0401","CDS","Rv0401"
2,17,7,17,"Rv0402c","CDS","mmpL1"
NA,1,1,6,"Rv0403c","CDS","mmpS1"
2,7,10,16,"Rv0404","CDS","fadD30"
6,15,12,34,"Rv0405","CDS","pks6"
2,3,1,9,"Rv0406c","CDS","Rv0406c"
1,7,2,9,"Rv0407","CDS","fgd1"
3,10,5,17,"Rv0408","CDS","pta"
NA,2,NA,13,"Rv0409","CDS","ackA"
NA,20,3,28,"Rv0410c","CDS","pknG"
1,10,3,15,"Rv0411c","CDS","glnH"
NA,8,NA,8,"Rv0412c","CDS","Rv0412c"
1,5,1,10,"Rv0413","CDS","mutT3"
1,3,2,7,"Rv0414c","CDS","thiE"
NA,6,3,12,"Rv0415","CDS","thiO"
NA,NA,1,1,"Rv0416","CDS","thiS"
1,2,NA,10,"Rv0417","CDS","thiG"
4,7,1,17,"Rv0418","CDS","lpqL"
2,8,4,19,"Rv0419","CDS","lpqM"
NA,2,NA,2,"Rv0420c","CDS","Rv0420c"
NA,2,3,12,"Rv0421c","CDS","Rv0421c"
NA,5,1,9,"Rv0422c","CDS","thiD"
NA,8,2,19,"Rv0423c","CDS","thiC"
NA,NA,1,3,"Rv0424c","CDS","Rv0424c"
7,34,14,47,"Rv0425c","CDS","ctpH"
NA,2,1,5,"Rv0426c","CDS","Rv0426c"
1,8,1,13,"Rv0427c","CDS","xthA"
1,8,3,7,"Rv0428c","CDS","Rv0428c"
2,7,NA,6,"Rv0429c","CDS","def"
NA,1,NA,1,"Rv0430","CDS","Rv0430"
NA,6,1,3,"Rv0431","CDS","Rv0431"
NA,10,3,6,"Rv0432","CDS","sodC"
2,8,NA,8,"Rv0433","CDS","Rv0433"
1,4,2,12,"Rv0434","CDS","Rv0434"
1,12,3,29,"Rv0435c","CDS","Rv0435c"
2,9,1,6,"Rv0436c","CDS","pssA"
NA,5,3,14,"Rv0437c","CDS","psd"
1,8,4,20,"Rv0438c","CDS","moeA2"
1,3,3,8,"Rv0439c","CDS","Rv0439c"
NA,5,NA,11,"Rv0440","CDS","groEL2"
1,8,1,4,"Rv0441c","CDS","Rv0441c"
2,7,1,14,"Rv0442c","CDS","PPE10"
NA,3,NA,4,"Rv0443","CDS","Rv0443"
NA,7,7,6,"Rv0444c","CDS","rskA"
NA,1,1,1,"Rv0445c","CDS","sigK"
1,4,1,9,"Rv0446c","CDS","Rv0446c"
2,4,4,14,"Rv0447c","CDS","ufaA1"
NA,5,1,14,"Rv0448c","CDS","Rv0448c"
NA,6,5,10,"Rv0449c","CDS","Rv0449c"
2,16,8,18,"Rv0450c","CDS","mmpL4"
1,2,2,3,"Rv0451c","CDS","mmpS4"
1,NA,4,8,"Rv0452","CDS","Rv0452"
4,15,5,24,"Rv0453","CDS","PPE11"
1,3,2,4,"Rv0454","CDS","Rv0454"
1,NA,3,3,"Rv0455c","CDS","Rv0455c"
1,2,3,4,"Rv0456A","CDS","mazF1"
NA,NA,1,NA,"Rv0456B","CDS","mazE1"
1,6,1,13,"Rv0456c","CDS","echA2"
2,13,6,15,"Rv0457c","CDS","Rv0457c"
NA,7,NA,19,"Rv0458","CDS","Rv0458"
NA,2,1,9,"Rv0459","CDS","Rv0459"
NA,1,NA,2,"Rv0460","CDS","Rv0460"
1,3,2,7,"Rv0461","CDS","Rv0461"
NA,6,3,5,"Rv0462","CDS","lpdC"
1,2,NA,1,"Rv0463","CDS","Rv0463"
NA,2,2,7,"Rv0464c","CDS","Rv0464c"
2,6,NA,11,"Rv0465c","CDS","Rv0465c"
1,4,NA,9,"Rv0466","CDS","Rv0466"
1,3,1,10,"Rv0467","CDS","icl1"
1,1,NA,12,"Rv0468","CDS","fadB2"
NA,4,1,2,"Rv0469","CDS","umaA"
4,4,NA,6,"Rv0470A","CDS","Rv0470A"
NA,6,NA,4,"Rv0470c","CDS","pcaA"
4,2,2,6,"Rv0471c","CDS","Rv0471c"
2,1,NA,7,"Rv0472c","CDS","Rv0472c"
NA,2,1,16,"Rv0473","CDS","Rv0473"
NA,1,NA,5,"Rv0474","CDS","Rv0474"
1,2,NA,4,"Rv0475","CDS","hbhA"
NA,3,NA,1,"Rv0476","CDS","Rv0476"
1,6,2,5,"Rv0477","CDS","Rv0477"
2,NA,1,4,"Rv0478","CDS","deoC"
1,9,3,15,"Rv0479c","CDS","Rv0479c"
1,6,1,9,"Rv0480c","CDS","Rv0480c"
NA,2,NA,6,"Rv0481c","CDS","Rv0481c"
NA,6,2,12,"Rv0482","CDS","murB"
5,6,2,25,"Rv0483","CDS","lprQ"
NA,3,1,3,"Rv0484c","CDS","Rv0484c"
2,9,2,11,"Rv0485","CDS","Rv0485"
NA,9,5,19,"Rv0486","CDS","mshA"
1,2,NA,5,"Rv0487","CDS","Rv0487"
NA,1,4,5,"Rv0488","CDS","Rv0488"
1,2,1,9,"Rv0489","CDS","gpm1"
NA,5,NA,6,"Rv0490","CDS","senX3"
1,1,NA,7,"Rv0491","CDS","regX3"
NA,2,1,4,"Rv0492A","CDS","Rv0492A"
1,10,4,27,"Rv0492c","CDS","Rv0492c"
2,9,6,11,"Rv0493c","CDS","Rv0493c"
NA,5,2,7,"Rv0494","CDS","Rv0494"
NA,7,1,10,"Rv0495c","CDS","Rv0495c"
NA,5,3,7,"Rv0496","CDS","Rv0496"
1,7,5,14,"Rv0497","CDS","Rv0497"
1,3,3,9,"Rv0498","CDS","Rv0498"
2,7,2,15,"Rv0499","CDS","Rv0499"
NA,1,1,NA,"Rv0500A","CDS","Rv0500A"
NA,NA,NA,NA,"Rv0500B","CDS","Rv0500B"
NA,1,2,8,"Rv0500","CDS","proC"
2,4,6,11,"Rv0501","CDS","galE2"
NA,6,2,15,"Rv0502","CDS","Rv0502"
NA,5,1,7,"Rv0503c","CDS","cmaA2"
1,2,NA,6,"Rv0504c","CDS","Rv0504c"
NA,4,4,13,"Rv0505c","CDS","serB1"
2,4,NA,3,"Rv0506","CDS","mmpS2"
2,11,3,30,"Rv0507","CDS","mmpL2"
1,1,2,2,"Rv0508","CDS","Rv0508"
2,3,2,10,"Rv0509","CDS","hemA"
NA,3,1,9,"Rv0510","CDS","hemC"
1,15,1,31,"Rv0511","CDS","hemD"
NA,3,1,11,"Rv0512","CDS","hemB"
NA,3,2,6,"Rv0513","CDS","Rv0513"
NA,2,NA,5,"Rv0514","CDS","Rv0514"
4,10,4,18,"Rv0515","CDS","Rv0515"
NA,2,NA,4,"Rv0516c","CDS","Rv0516c"
1,4,1,17,"Rv0517","CDS","Rv0517"
3,5,4,7,"Rv0518","CDS","Rv0518"
1,7,3,11,"Rv0519c","CDS","Rv0519c"
NA,4,NA,4,"Rv0520","CDS","Rv0520"
NA,1,1,2,"Rv0521","CDS","Rv0521"
2,4,NA,9,"Rv0522","CDS","gabP"
NA,1,NA,9,"Rv0523c","CDS","Rv0523c"
NA,13,2,16,"Rv0524","CDS","hemL"
2,5,NA,7,"Rv0525","CDS","Rv0525"
2,3,1,11,"Rv0526","CDS","Rv0526"
NA,2,2,9,"Rv0527","CDS","ccdA"
NA,13,1,19,"Rv0528","CDS","Rv0528"
1,4,1,8,"Rv0529","CDS","ccsA"
NA,2,1,NA,"Rv0530A","CDS","Rv0530A"
2,7,4,24,"Rv0530","CDS","Rv0530"
1,2,NA,2,"Rv0531","CDS","Rv0531"
NA,4,NA,11,"Rv0532","CDS","PE_PGRS6"
1,7,3,6,"Rv0533c","CDS","fabH"
1,3,1,8,"Rv0534c","CDS","menA"
1,8,1,7,"Rv0535","CDS","pnp"
NA,7,6,12,"Rv0536","CDS","galE3"
2,8,3,14,"Rv0537c","CDS","Rv0537c"
4,11,9,58,"Rv0538","CDS","Rv0538"
NA,6,1,6,"Rv0539","CDS","Rv0539"
1,2,1,7,"Rv0540","CDS","Rv0540"
NA,7,1,14,"Rv0541c","CDS","Rv0541c"
2,7,5,12,"Rv0542c","CDS","menE"
NA,1,1,4,"Rv0543c","CDS","Rv0543c"
NA,1,NA,2,"Rv0544c","CDS","Rv0544c"
2,3,3,16,"Rv0545c","CDS","pitA"
1,3,1,4,"Rv0546c","CDS","Rv0546c"
2,5,2,10,"Rv0547c","CDS","Rv0547c"
3,4,1,5,"Rv0548c","CDS","menB"
NA,2,NA,4,"Rv0549c","CDS","vapC3"
NA,2,NA,NA,"Rv0550c","CDS","vapB3"
2,9,5,21,"Rv0551c","CDS","fadD8"
2,9,5,17,"Rv0552","CDS","Rv0552"
2,8,NA,17,"Rv0553","CDS","menC"
1,5,2,9,"Rv0554","CDS","bpoC"
2,13,3,31,"Rv0555","CDS","menD"
NA,3,NA,6,"Rv0556","CDS","Rv0556"
1,5,2,19,"Rv0557","CDS","mgtA"
NA,8,NA,3,"Rv0558","CDS","menH"
1,1,NA,3,"Rv0559c","CDS","Rv0559c"
NA,7,1,5,"Rv0560c","CDS","Rv0560c"
1,6,3,13,"Rv0561c","CDS","Rv0561c"
NA,4,1,8,"Rv0562","CDS","grcC1"
NA,3,1,13,"Rv0563","CDS","htpX"
NA,7,2,4,"Rv0564c","CDS","gpdA1"
2,9,2,12,"Rv0565c","CDS","Rv0565c"
NA,1,NA,1,"Rv0566c","CDS","Rv0566c"
2,4,NA,8,"Rv0567","CDS","Rv0567"
2,2,3,22,"Rv0568","CDS","cyp135B1"
NA,NA,NA,5,"Rv0569","CDS","Rv0569"
2,10,1,25,"Rv0570","CDS","nrdZ"
NA,8,7,11,"Rv0571c","CDS","Rv0571c"
2,3,NA,1,"Rv0572c","CDS","Rv0572c"
1,7,2,11,"Rv0573c","CDS","pncB2"
2,10,2,9,"Rv0574c","CDS","Rv0574c"
NA,6,NA,6,"Rv0575c","CDS","Rv0575c"
1,7,3,16,"Rv0576","CDS","Rv0576"
NA,6,NA,17,"Rv0577","CDS","TB27.3"
3,28,3,7,"Rv0578c","CDS","PE_PGRS7"
1,1,1,10,"Rv0579","CDS","Rv0579"
NA,2,1,5,"Rv0580c","CDS","Rv0580c"
NA,1,NA,4,"Rv0581","CDS","vapB26"
1,NA,1,2,"Rv0582","CDS","vapC26"
NA,13,3,4,"Rv0583c","CDS","lpqN"
2,20,3,32,"Rv0584","CDS","Rv0584"
2,9,6,19,"Rv0585c","CDS","Rv0585c"
NA,7,NA,6,"Rv0586","CDS","mce2R"
1,5,1,2,"Rv0587","CDS","yrbE2A"
NA,1,2,3,"Rv0588","CDS","yrbE2B"
2,7,2,15,"Rv0589","CDS","mce2A"
1,NA,NA,5,"Rv0590A","CDS","Rv0590A"
NA,NA,2,4,"Rv0590","CDS","mce2B"
3,14,4,37,"Rv0591","CDS","mce2C"
NA,10,6,33,"Rv0592","CDS","mce2D"
3,NA,3,21,"Rv0593","CDS","lprL"
7,14,6,21,"Rv0594","CDS","mce2F"
NA,2,1,2,"Rv0595c","CDS","vapC4"
NA,3,1,1,"Rv0596c","CDS","vapB4"
1,5,3,18,"Rv0597c","CDS","Rv0597c"
NA,NA,1,6,"Rv0598c","CDS","vapC27"
NA,2,NA,2,"Rv0599c","CDS","vapB27"
NA,6,NA,7,"Rv0600c","CDS","Rv0600c"
1,4,1,7,"Rv0601c","CDS","Rv0601c"
NA,6,2,5,"Rv0602c","CDS","tcrA"
NA,2,NA,2,"Rv0603","CDS","Rv0603"
NA,6,2,6,"Rv0604","CDS","lpqO"
1,NA,1,3,"Rv0605","CDS","Rv0605"
2,4,1,6,"Rv0606","CDS","Rv0606"
NA,3,1,1,"Rv0607","CDS","Rv0607"
NA,NA,NA,3,"Rv0608","CDS","vapB28"
1,NA,1,3,"Rv0609A","CDS","Rv0609A"
NA,1,NA,3,"Rv0609","CDS","vapC28"
2,8,2,18,"Rv0610c","CDS","Rv0610c"
2,2,1,5,"Rv0611c","CDS","Rv0611c"
NA,1,2,11,"Rv0612","CDS","Rv0612"
2,17,3,31,"Rv0613c","CDS","Rv0613c"
5,7,8,10,"Rv0614","CDS","Rv0614"
NA,NA,NA,2,"Rv0615","CDS","Rv0615"
2,1,NA,1,"Rv0616A","CDS","vapB29"
NA,1,NA,3,"Rv0616c","CDS","Rv0616c"
NA,1,1,1,"Rv0617","CDS","vapC29"
1,10,3,13,"Rv0618","CDS","galTa"
1,NA,2,8,"Rv0619","CDS","galTb"
1,4,1,10,"Rv0620","CDS","galK"
NA,13,NA,15,"Rv0621","CDS","Rv0621"
1,2,2,7,"Rv0622","CDS","Rv0622"
NA,NA,NA,4,"Rv0623","CDS","vapB30"
NA,1,2,1,"Rv0624","CDS","vapC30"
NA,1,NA,10,"Rv0625c","CDS","Rv0625c"
NA,1,NA,4,"Rv0626","CDS","vapB5"
NA,2,NA,2,"Rv0627","CDS","vapC5"
NA,6,2,15,"Rv0628c","CDS","Rv0628c"
2,6,3,16,"Rv0629c","CDS","recD"
1,19,4,34,"Rv0630c","CDS","recB"
2,30,7,46,"Rv0631c","CDS","recC"
NA,2,NA,5,"Rv0632c","CDS","echA3"
NA,10,3,6,"Rv0633c","CDS","Rv0633c"
NA,1,NA,1,"Rv0634A","CDS","Rv0634A"
NA,NA,NA,3,"Rv0634B","CDS","rpmG2"
1,5,4,3,"Rv0634c","CDS","Rv0634c"
NA,1,NA,2,"Rv0635","CDS","hadA"
1,1,NA,5,"Rv0636","CDS","hadB"
NA,1,NA,3,"Rv0637","CDS","hadC"
NA,1,NA,6,"Rv0638","CDS","secE1"
NA,3,NA,9,"Rv0639","CDS","nusG"
1,2,1,5,"Rv0640","CDS","rplK"
NA,1,2,8,"Rv0641","CDS","rplA"
NA,4,2,9,"Rv0642c","CDS","mmaA4"
NA,1,NA,7,"Rv0643c","CDS","mmaA3"
1,3,NA,8,"Rv0644c","CDS","mmaA2"
NA,3,2,2,"Rv0645c","CDS","mmaA1"
NA,4,4,12,"Rv0646c","CDS","lipG"
1,5,2,16,"Rv0647c","CDS","Rv0647c"
1,21,3,71,"Rv0648","CDS","Rv0648"
1,7,2,6,"Rv0649","CDS","fabD2"
2,3,NA,13,"Rv0650","CDS","Rv0650"
NA,1,3,2,"Rv0651","CDS","rplJ"
NA,1,1,2,"Rv0652","CDS","rplL"
NA,3,1,4,"Rv0653c","CDS","Rv0653c"
1,13,5,21,"Rv0654","CDS","Rv0654"
NA,6,2,11,"Rv0655","CDS","mkl"
NA,2,1,2,"Rv0656c","CDS","vapC6"
NA,NA,NA,NA,"Rv0657c","CDS","vapB6"
NA,4,3,4,"Rv0658c","CDS","Rv0658c"
1,NA,2,3,"Rv0659c","CDS","mazF2"
NA,NA,NA,2,"Rv0660c","CDS","mazE2"
NA,2,3,2,"Rv0661c","CDS","vapC7"
NA,2,NA,2,"Rv0662c","CDS","vapB7"
NA,14,3,35,"Rv0663","CDS","atsD"
NA,NA,NA,3,"Rv0664","CDS","vapB8"
2,NA,NA,NA,"Rv0665","CDS","vapC8"
1,2,1,1,"Rv0666","CDS","Rv0666"
3,15,4,43,"Rv0667","CDS","rpoB"
3,15,1,44,"Rv0668","CDS","rpoC"
1,17,4,18,"Rv0669c","CDS","Rv0669c"
1,4,1,5,"Rv0670","CDS","end"
NA,7,NA,9,"Rv0671","CDS","lpqP"
NA,10,NA,19,"Rv0672","CDS","fadE8"
NA,2,1,13,"Rv0673","CDS","echA4"
NA,5,1,4,"Rv0674","CDS","Rv0674"
2,3,1,9,"Rv0675","CDS","echA5"
1,17,2,25,"Rv0676c","CDS","mmpL5"
NA,2,1,6,"Rv0677c","CDS","mmpS5"
NA,3,NA,2,"Rv0678","CDS","Rv0678"
NA,2,NA,6,"Rv0679c","CDS","Rv0679c"
NA,NA,1,3,"Rv0680c","CDS","Rv0680c"
NA,2,NA,4,"Rv0681","CDS","Rv0681"
1,1,1,3,"Rv0682","CDS","rpsL"
1,4,1,3,"Rv0683","CDS","rpsG"
1,7,1,22,"Rv0684","CDS","fusA1"
1,8,1,10,"Rv0685","CDS","tuf"
NA,3,1,7,"Rv0686","CDS","Rv0686"
1,3,4,7,"Rv0687","CDS","Rv0687"
NA,6,1,12,"Rv0688","CDS","Rv0688"
NA,1,1,4,"Rv0689c","CDS","Rv0689c"
1,7,5,13,"Rv0690c","CDS","Rv0690c"
1,NA,1,NA,"Rv0691A","CDS","Rv0691A"
1,2,NA,2,"Rv0691c","CDS","Rv0691c"
2,3,1,3,"Rv0692","CDS","Rv0692"
NA,10,3,12,"Rv0693","CDS","pqqE"
1,9,5,11,"Rv0694","CDS","lldD1"
NA,6,2,10,"Rv0695","CDS","Rv0695"
2,3,4,17,"Rv0696","CDS","Rv0696"
4,5,8,17,"Rv0697","CDS","Rv0697"
2,6,4,6,"Rv0698","CDS","Rv0698"
NA,NA,NA,1,"Rv0699","CDS","Rv0699"
NA,1,NA,6,"Rv0700","CDS","rpsJ"
1,2,2,4,"Rv0701","CDS","rplC"
NA,3,NA,8,"Rv0702","CDS","rplD"
NA,1,NA,5,"Rv0703","CDS","rplW"
2,3,1,11,"Rv0704","CDS","rplB"
NA,1,1,3,"Rv0705","CDS","rpsS"
NA,6,1,7,"Rv0706","CDS","rplV"
1,3,1,6,"Rv0707","CDS","rpsC"
2,3,NA,4,"Rv0708","CDS","rplP"
NA,1,NA,1,"Rv0709","CDS","rpmC"
1,3,1,4,"Rv0710","CDS","rpsQ"
4,18,8,24,"Rv0711","CDS","atsA"
2,6,3,17,"Rv0712","CDS","Rv0712"
NA,3,5,16,"Rv0713","CDS","Rv0713"
NA,2,NA,4,"Rv0714","CDS","rplN"
NA,1,NA,2,"Rv0715","CDS","rplX"
NA,2,1,4,"Rv0716","CDS","rplE"
NA,1,NA,2,"Rv0717","CDS","rpsN1"
1,1,NA,3,"Rv0718","CDS","rpsH"
NA,5,1,5,"Rv0719","CDS","rplF"
NA,NA,NA,2,"Rv0720","CDS","rplR"
NA,NA,NA,10,"Rv0721","CDS","rpsE"
NA,1,NA,NA,"Rv0722","CDS","rpmD"
NA,2,NA,3,"Rv0723","CDS","rplO"
NA,2,1,2,"Rv0724A","CDS","Rv0724A"
3,10,3,24,"Rv0724","CDS","sppA"
NA,3,3,16,"Rv0725c","CDS","Rv0725c"
2,6,5,13,"Rv0726c","CDS","Rv0726c"
1,4,1,7,"Rv0727c","CDS","fucA"
3,7,1,9,"Rv0728c","CDS","serA2"
1,7,3,18,"Rv0729","CDS","xylB"
NA,4,2,4,"Rv0730","CDS","Rv0730"
NA,4,1,6,"Rv0731c","CDS","Rv0731c"
NA,5,1,12,"Rv0732","CDS","secY"
NA,1,1,5,"Rv0733","CDS","adk"
NA,3,1,9,"Rv0734","CDS","mapA"
NA,1,NA,3,"Rv0735","CDS","sigL"
1,5,NA,10,"Rv0736","CDS","rslA"
NA,3,NA,2,"Rv0737","CDS","Rv0737"
1,9,2,6,"Rv0738","CDS","Rv0738"
1,4,3,11,"Rv0739","CDS","Rv0739"
NA,4,1,8,"Rv0740","CDS","Rv0740"
NA,3,1,1,"Rv0741","CDS","Rv0741"
NA,3,NA,4,"Rv0742","CDS","PE_PGRS8"
1,NA,1,7,"Rv0743c","CDS","Rv0743c"
1,1,NA,4,"Rv0744c","CDS","Rv0744c"
2,3,4,9,"Rv0745","CDS","Rv0745"
NA,5,NA,13,"Rv0746","CDS","PE_PGRS9"
NA,13,NA,6,"Rv0747","CDS","PE_PGRS10"
NA,NA,NA,3,"Rv0748","CDS","vapB31"
NA,NA,NA,2,"Rv0749A","CDS","Rv0749A"
1,5,NA,7,"Rv0749","CDS","vapC31"
NA,1,1,5,"Rv0750","CDS","Rv0750"
NA,6,NA,10,"Rv0751c","CDS","mmsB"
NA,4,NA,7,"Rv0752c","CDS","fadE9"
1,9,1,18,"Rv0753c","CDS","mmsA"
NA,15,2,20,"Rv0754","CDS","PE_PGRS11"
NA,NA,NA,NA,"Rv0755A","CDS","Rv0755A"
1,4,3,7,"Rv0755c","CDS","PPE12"
NA,7,1,6,"Rv0756c","CDS","Rv0756c"
2,3,2,4,"Rv0757","CDS","phoP"
1,10,3,15,"Rv0758","CDS","phoR"
NA,4,1,2,"Rv0759c","CDS","Rv0759c"
NA,1,NA,4,"Rv0760c","CDS","Rv0760c"
NA,2,1,14,"Rv0761c","CDS","adhB"
1,2,2,3,"Rv0762c","CDS","Rv0762c"
NA,5,NA,1,"Rv0763c","CDS","Rv0763c"
1,7,4,12,"Rv0764c","CDS","cyp51"
1,6,2,9,"Rv0765c","CDS","Rv0765c"
1,7,1,12,"Rv0766c","CDS","cyp123"
2,5,NA,4,"Rv0767c","CDS","Rv0767c"
2,4,3,17,"Rv0768","CDS","aldA"
NA,3,NA,4,"Rv0769","CDS","Rv0769"
1,1,3,13,"Rv0770","CDS","Rv0770"
NA,3,1,1,"Rv0771","CDS","Rv0771"
1,7,2,13,"Rv0772","CDS","purD"
2,14,5,14,"Rv0773c","CDS","ggtA"
1,9,5,14,"Rv0774c","CDS","Rv0774c"
1,2,1,5,"Rv0775","CDS","Rv0775"
1,5,1,11,"Rv0776c","CDS","Rv0776c"
NA,3,NA,12,"Rv0777","CDS","purB"
3,7,2,14,"Rv0778","CDS","cyp126"
NA,4,1,7,"Rv0779c","CDS","Rv0779c"
4,3,NA,13,"Rv0780","CDS","purC"
1,4,5,5,"Rv0781","CDS","ptrBa"
5,5,2,20,"Rv0782","CDS","ptrBb"
1,8,6,20,"Rv0783c","CDS","emrB"
NA,1,2,6,"Rv0784","CDS","Rv0784"
2,11,2,16,"Rv0785","CDS","Rv0785"
1,5,1,4,"Rv0786c","CDS","Rv0786c"
NA,1,NA,2,"Rv0787A","CDS","Rv0787A"
3,1,3,18,"Rv0787","CDS","Rv0787"
2,3,NA,6,"Rv0788","CDS","purQ"
1,4,2,6,"Rv0789c","CDS","Rv0789c"
NA,7,1,7,"Rv0790c","CDS","Rv0790c"
3,7,4,11,"Rv0791c","CDS","Rv0791c"
NA,8,1,9,"Rv0792c","CDS","Rv0792c"
1,2,1,3,"Rv0793","CDS","Rv0793"
1,8,6,10,"Rv0794c","CDS","Rv0794c"
NA,1,1,2,"Rv0795","CDS","Rv0795"
1,5,4,6,"Rv0796","CDS","Rv0796"
1,7,1,3,"Rv0797","CDS","Rv0797"
1,6,1,6,"Rv0798c","CDS","cfp29"
2,5,7,11,"Rv0799c","CDS","Rv0799c"
1,4,2,17,"Rv0800","CDS","pepC"
2,4,NA,1,"Rv0801","CDS","Rv0801"
1,3,1,9,"Rv0802c","CDS","Rv0802c"
1,16,2,20,"Rv0803","CDS","purL"
1,NA,NA,12,"Rv0804","CDS","Rv0804"
1,4,3,14,"Rv0805","CDS","Rv0805"
6,10,3,21,"Rv0806c","CDS","cpsY"
1,4,4,2,"Rv0807","CDS","Rv0807"
NA,11,4,13,"Rv0808","CDS","purF"
NA,7,NA,11,"Rv0809","CDS","purM"
NA,NA,NA,2,"Rv0810c","CDS","Rv0810c"
4,7,2,13,"Rv0811c","CDS","Rv0811c"
2,4,1,11,"Rv0812","CDS","Rv0812"
1,2,3,4,"Rv0813c","CDS","Rv0813c"
NA,3,NA,1,"Rv0814c","CDS","sseC2"
1,3,NA,10,"Rv0815c","CDS","cysA2"
NA,3,2,5,"Rv0816c","CDS","thiX"
NA,6,2,7,"Rv0817c","CDS","Rv0817c"
NA,5,1,10,"Rv0818","CDS","Rv0818"
2,7,3,8,"Rv0819","CDS","mshD"
NA,8,2,4,"Rv0820","CDS","phoT"
NA,2,1,2,"Rv0821c","CDS","phoY2"
2,21,6,23,"Rv0822c","CDS","Rv0822c"
NA,8,3,14,"Rv0823c","CDS","Rv0823c"
1,6,1,6,"Rv0824c","CDS","desA1"
NA,3,2,6,"Rv0825c","CDS","Rv0825c"
2,7,4,21,"Rv0826","CDS","Rv0826"
2,3,NA,2,"Rv0827c","CDS","kmtR"
NA,4,NA,7,"Rv0828c","CDS","Rv0828c"
2,1,3,2,"Rv0829","CDS","Rv0829"
NA,3,2,9,"Rv0830","CDS","Rv0830"
NA,11,2,6,"Rv0831c","CDS","Rv0831c"
NA,2,NA,5,"Rv0832","CDS","PE_PGRS12"
1,11,NA,5,"Rv0833","CDS","PE_PGRS13"
2,8,1,8,"Rv0834c","CDS","PE_PGRS14"
NA,3,NA,12,"Rv0835","CDS","lpqQ"
2,3,3,7,"Rv0836c","CDS","Rv0836c"
2,9,2,11,"Rv0837c","CDS","Rv0837c"
1,6,5,7,"Rv0838","CDS","lpqR"
1,3,2,8,"Rv0839","CDS","Rv0839"
3,4,1,8,"Rv0840c","CDS","pip"
1,1,1,4,"Rv0841","CDS","Rv0841"
3,1,3,13,"Rv0842","CDS","Rv0842"
2,2,3,9,"Rv0843","CDS","Rv0843"
NA,5,1,6,"Rv0844c","CDS","narL"
NA,6,4,5,"Rv0845","CDS","Rv0845"
3,17,7,14,"Rv0846c","CDS","Rv0846c"
NA,3,3,8,"Rv0847","CDS","lpqS"
4,12,2,12,"Rv0848","CDS","cysK2"
1,5,4,5,"Rv0849","CDS","Rv0849"
NA,2,1,6,"Rv0850","CDS","Rv0850"
NA,4,1,5,"Rv0851c","CDS","Rv0851c"
4,2,4,6,"Rv0852","CDS","fadD16"
NA,13,3,25,"Rv0853c","CDS","pdc"
NA,4,2,1,"Rv0854","CDS","Rv0854"
