"CCT(proX)","CCC(proT)","CCA(proU)","CCG(proY)","geneSymbol","geneType","geneLocus"
NA,33.3333333333333,NA,66.6666666666667,"Rv0516c","CDS","Rv0516c"
4.34782608695652,17.3913043478261,4.34782608695652,73.9130434782609,"Rv0517","CDS","Rv0517"
15.7894736842105,26.3157894736842,21.0526315789474,36.8421052631579,"Rv0518","CDS","Rv0518"
4.54545454545455,31.8181818181818,13.6363636363636,50,"Rv0519c","CDS","Rv0519c"
NA,50,NA,50,"Rv0520","CDS","Rv0520"
NA,25,25,50,"Rv0521","CDS","Rv0521"
13.3333333333333,26.6666666666667,NA,60,"gabP","CDS","Rv0522"
NA,10,NA,90,"Rv0523c","CDS","Rv0523c"
NA,41.9354838709677,6.45161290322581,51.6129032258064,"hemL","CDS","Rv0524"
14.2857142857143,35.7142857142857,NA,50,"Rv0525","CDS","Rv0525"
11.7647058823529,17.6470588235294,5.88235294117647,64.7058823529412,"Rv0526","CDS","Rv0526"
NA,15.3846153846154,15.3846153846154,69.2307692307692,"ccdA","CDS","Rv0527"
NA,39.3939393939394,3.03030303030303,57.5757575757576,"Rv0528","CDS","Rv0528"
7.14285714285714,28.5714285714286,7.14285714285714,57.1428571428571,"ccsA","CDS","Rv0529"
NA,66.6666666666667,33.3333333333333,NA,"Rv0530A","CDS","Rv0530A"
5.40540540540541,18.9189189189189,10.8108108108108,64.8648648648649,"Rv0530","CDS","Rv0530"
20,40,NA,40,"Rv0531","CDS","Rv0531"
NA,26.6666666666667,NA,73.3333333333333,"PE_PGRS6","CDS","Rv0532"
5.88235294117647,41.1764705882353,17.6470588235294,35.2941176470588,"fabH","CDS","Rv0533c"
7.69230769230769,23.0769230769231,7.69230769230769,61.5384615384615,"menA","CDS","Rv0534c"
5.88235294117647,47.0588235294118,5.88235294117647,41.1764705882353,"pnp","CDS","Rv0535"
NA,28,24,48,"galE3","CDS","Rv0536"
7.40740740740741,29.6296296296296,11.1111111111111,51.8518518518518,"Rv0537c","CDS","Rv0537c"
4.8780487804878,13.4146341463415,10.9756097560976,70.7317073170732,"Rv0538","CDS","Rv0538"
NA,46.1538461538462,7.69230769230769,46.1538461538462,"Rv0539","CDS","Rv0539"
9.09090909090909,18.1818181818182,9.09090909090909,63.6363636363636,"Rv0540","CDS","Rv0540"
NA,31.8181818181818,4.54545454545455,63.6363636363636,"Rv0541c","CDS","Rv0541c"
7.69230769230769,26.9230769230769,19.2307692307692,46.1538461538462,"menE","CDS","Rv0542c"
NA,16.6666666666667,16.6666666666667,66.6666666666667,"Rv0543c","CDS","Rv0543c"
NA,33.3333333333333,NA,66.6666666666667,"Rv0544c","CDS","Rv0544c"
8.33333333333333,12.5,12.5,66.6666666666667,"pitA","CDS","Rv0545c"
11.1111111111111,33.3333333333333,11.1111111111111,44.4444444444444,"Rv0546c","CDS","Rv0546c"
10.5263157894737,26.3157894736842,10.5263157894737,52.6315789473684,"Rv0547c","CDS","Rv0547c"
23.0769230769231,30.7692307692308,7.69230769230769,38.4615384615385,"menB","CDS","Rv0548c"
NA,33.3333333333333,NA,66.6666666666667,"vapC3","CDS","Rv0549c"
NA,100,NA,NA,"vapB3","CDS","Rv0550c"
5.40540540540541,24.3243243243243,13.5135135135135,56.7567567567568,"fadD8","CDS","Rv0551c"
6.06060606060606,27.2727272727273,15.1515151515152,51.5151515151515,"Rv0552","CDS","Rv0552"
7.40740740740741,29.6296296296296,NA,62.962962962963,"menC","CDS","Rv0553"
5.88235294117647,29.4117647058824,11.7647058823529,52.9411764705882,"bpoC","CDS","Rv0554"
4.08163265306122,26.530612244898,6.12244897959184,63.265306122449,"menD","CDS","Rv0555"
NA,33.3333333333333,NA,66.6666666666667,"Rv0556","CDS","Rv0556"
3.7037037037037,18.5185185185185,7.40740740740741,70.3703703703704,"mgtA","CDS","Rv0557"
NA,72.7272727272727,NA,27.2727272727273,"menH","CDS","Rv0558"
20,20,NA,60,"Rv0559c","CDS","Rv0559c"
NA,53.8461538461538,7.69230769230769,38.4615384615385,"Rv0560c","CDS","Rv0560c"
4.34782608695652,26.0869565217391,13.0434782608696,56.5217391304348,"Rv0561c","CDS","Rv0561c"
NA,30.7692307692308,7.69230769230769,61.5384615384615,"grcC1","CDS","Rv0562"
NA,17.6470588235294,5.88235294117647,76.4705882352941,"htpX","CDS","Rv0563"
NA,53.8461538461538,15.3846153846154,30.7692307692308,"gpdA1","CDS","Rv0564c"
8,36,8,48,"Rv0565c","CDS","Rv0565c"
NA,50,NA,50,"Rv0566c","CDS","Rv0566c"
14.2857142857143,28.5714285714286,NA,57.1428571428571,"Rv0567","CDS","Rv0567"
6.89655172413793,6.89655172413793,10.3448275862069,75.8620689655172,"cyp135B1","CDS","Rv0568"
NA,NA,NA,100,"Rv0569","CDS","Rv0569"
5.26315789473684,26.3157894736842,2.63157894736842,65.7894736842105,"nrdZ","CDS","Rv0570"
NA,30.7692307692308,26.9230769230769,42.3076923076923,"Rv0571c","CDS","Rv0571c"
33.3333333333333,50,NA,16.6666666666667,"Rv0572c","CDS","Rv0572c"
4.76190476190476,33.3333333333333,9.52380952380952,52.3809523809524,"pncB2","CDS","Rv0573c"
8.69565217391304,43.4782608695652,8.69565217391304,39.1304347826087,"Rv0574c","CDS","Rv0574c"
NA,50,NA,50,"Rv0575c","CDS","Rv0575c"
3.7037037037037,25.9259259259259,11.1111111111111,59.2592592592593,"Rv0576","CDS","Rv0576"
NA,26.0869565217391,NA,73.9130434782609,"TB27.3","CDS","Rv0577"
7.31707317073171,68.2926829268293,7.31707317073171,17.0731707317073,"PE_PGRS7","CDS","Rv0578c"
7.69230769230769,7.69230769230769,7.69230769230769,76.9230769230769,"Rv0579","CDS","Rv0579"
NA,25,12.5,62.5,"Rv0580c","CDS","Rv0580c"
NA,20,NA,80,"vapB26","CDS","Rv0581"
25,NA,25,50,"vapC26","CDS","Rv0582"
NA,65,15,20,"lpqN","CDS","Rv0583c"
3.50877192982456,35.0877192982456,5.26315789473684,56.140350877193,"Rv0584","CDS","Rv0584"
5.55555555555556,25,16.6666666666667,52.7777777777778,"Rv0585c","CDS","Rv0585c"
NA,53.8461538461538,NA,46.1538461538462,"mce2R","CDS","Rv0586"
11.1111111111111,55.5555555555556,11.1111111111111,22.2222222222222,"yrbE2A","CDS","Rv0587"
NA,16.6666666666667,33.3333333333333,50,"yrbE2B","CDS","Rv0588"
7.69230769230769,26.9230769230769,7.69230769230769,57.6923076923077,"mce2A","CDS","Rv0589"
16.6666666666667,NA,NA,83.3333333333333,"Rv0590A","CDS","Rv0590A"
NA,NA,33.3333333333333,66.6666666666667,"mce2B","CDS","Rv0590"
5.17241379310345,24.1379310344828,6.89655172413793,63.7931034482759,"mce2C","CDS","Rv0591"
NA,20.4081632653061,12.2448979591837,67.3469387755102,"mce2D","CDS","Rv0592"
11.1111111111111,NA,11.1111111111111,77.7777777777778,"lprL","CDS","Rv0593"
14.5833333333333,29.1666666666667,12.5,43.75,"mce2F","CDS","Rv0594"
NA,40,20,40,"vapC4","CDS","Rv0595c"
NA,60,20,20,"vapB4","CDS","Rv0596c"
3.7037037037037,18.5185185185185,11.1111111111111,66.6666666666667,"Rv0597c","CDS","Rv0597c"
NA,NA,14.2857142857143,85.7142857142857,"vapC27","CDS","Rv0598c"
NA,50,NA,50,"vapB27","CDS","Rv0599c"
NA,46.1538461538462,NA,53.8461538461538,"Rv0600c","CDS","Rv0600c"
7.69230769230769,30.7692307692308,7.69230769230769,53.8461538461538,"Rv0601c","CDS","Rv0601c"
NA,46.1538461538462,15.3846153846154,38.4615384615385,"tcrA","CDS","Rv0602c"
NA,50,NA,50,"Rv0603","CDS","Rv0603"
NA,42.8571428571429,14.2857142857143,42.8571428571429,"lpqO","CDS","Rv0604"
20,NA,20,60,"Rv0605","CDS","Rv0605"
15.3846153846154,30.7692307692308,7.69230769230769,46.1538461538462,"Rv0606","CDS","Rv0606"
NA,60,20,20,"Rv0607","CDS","Rv0607"
NA,NA,NA,100,"vapB28","CDS","Rv0608"
20,NA,20,60,"Rv0609A","CDS","Rv0609A"
NA,25,NA,75,"vapC28","CDS","Rv0609"
6.66666666666667,26.6666666666667,6.66666666666667,60,"Rv0610c","CDS","Rv0610c"
20,20,10,50,"Rv0611c","CDS","Rv0611c"
NA,7.14285714285714,14.2857142857143,78.5714285714286,"Rv0612","CDS","Rv0612"
3.77358490566038,32.0754716981132,5.66037735849057,58.4905660377358,"Rv0613c","CDS","Rv0613c"
16.6666666666667,23.3333333333333,26.6666666666667,33.3333333333333,"Rv0614","CDS","Rv0614"
NA,NA,NA,100,"Rv0615","CDS","Rv0615"
50,25,NA,25,"vapB29","CDS","Rv0616A"
NA,25,NA,75,"Rv0616c","CDS","Rv0616c"
NA,33.3333333333333,33.3333333333333,33.3333333333333,"vapC29","CDS","Rv0617"
3.7037037037037,37.037037037037,11.1111111111111,48.1481481481481,"galTa","CDS","Rv0618"
9.09090909090909,NA,18.1818181818182,72.7272727272727,"galTb","CDS","Rv0619"
6.25,25,6.25,62.5,"galK","CDS","Rv0620"
NA,46.4285714285714,NA,53.5714285714286,"Rv0621","CDS","Rv0621"
8.33333333333333,16.6666666666667,16.6666666666667,58.3333333333333,"Rv0622","CDS","Rv0622"
NA,NA,NA,100,"vapB30","CDS","Rv0623"
NA,25,50,25,"vapC30","CDS","Rv0624"
NA,9.09090909090909,NA,90.9090909090909,"Rv0625c","CDS","Rv0625c"
NA,20,NA,80,"vapB5","CDS","Rv0626"
NA,50,NA,50,"vapC5","CDS","Rv0627"
NA,26.0869565217391,8.69565217391304,65.2173913043478,"Rv0628c","CDS","Rv0628c"
7.40740740740741,22.2222222222222,11.1111111111111,59.2592592592593,"recD","CDS","Rv0629c"
1.72413793103448,32.7586206896552,6.89655172413793,58.6206896551724,"recB","CDS","Rv0630c"
2.35294117647059,35.2941176470588,8.23529411764706,54.1176470588235,"recC","CDS","Rv0631c"
NA,28.5714285714286,NA,71.4285714285714,"echA3","CDS","Rv0632c"
NA,52.6315789473684,15.7894736842105,31.5789473684211,"Rv0633c","CDS","Rv0633c"
NA,50,NA,50,"Rv0634A","CDS","Rv0634A"
NA,NA,NA,100,"rpmG2","CDS","Rv0634B"
7.69230769230769,38.4615384615385,30.7692307692308,23.0769230769231,"Rv0634c","CDS","Rv0634c"
NA,33.3333333333333,NA,66.6666666666667,"hadA","CDS","Rv0635"
14.2857142857143,14.2857142857143,NA,71.4285714285714,"hadB","CDS","Rv0636"
NA,25,NA,75,"hadC","CDS","Rv0637"
NA,14.2857142857143,NA,85.7142857142857,"secE1","CDS","Rv0638"
NA,25,NA,75,"nusG","CDS","Rv0639"
11.1111111111111,22.2222222222222,11.1111111111111,55.5555555555556,"rplK","CDS","Rv0640"
NA,9.09090909090909,18.1818181818182,72.7272727272727,"rplA","CDS","Rv0641"
NA,26.6666666666667,13.3333333333333,60,"mmaA4","CDS","Rv0642c"
NA,12.5,NA,87.5,"mmaA3","CDS","Rv0643c"
8.33333333333333,25,NA,66.6666666666667,"mmaA2","CDS","Rv0644c"
NA,42.8571428571429,28.5714285714286,28.5714285714286,"mmaA1","CDS","Rv0645c"
NA,20,20,60,"lipG","CDS","Rv0646c"
4.16666666666667,20.8333333333333,8.33333333333333,66.6666666666667,"Rv0647c","CDS","Rv0647c"
1.04166666666667,21.875,3.125,73.9583333333333,"Rv0648","CDS","Rv0648"
6.25,43.75,12.5,37.5,"fabD2","CDS","Rv0649"
11.1111111111111,16.6666666666667,NA,72.2222222222222,"Rv0650","CDS","Rv0650"
NA,16.6666666666667,50,33.3333333333333,"rplJ","CDS","Rv0651"
NA,25,25,50,"rplL","CDS","Rv0652"
NA,37.5,12.5,50,"Rv0653c","CDS","Rv0653c"
2.5,32.5,12.5,52.5,"Rv0654","CDS","Rv0654"
NA,31.5789473684211,10.5263157894737,57.8947368421053,"mkl","CDS","Rv0655"
NA,40,20,40,"vapC6","CDS","Rv0656c"
NA,NA,NA,NA,"vapB6","CDS","Rv0657c"
NA,36.3636363636364,27.2727272727273,36.3636363636364,"Rv0658c","CDS","Rv0658c"
16.6666666666667,NA,33.3333333333333,50,"mazF2","CDS","Rv0659c"
NA,NA,NA,100,"mazE2","CDS","Rv0660c"
NA,28.5714285714286,42.8571428571429,28.5714285714286,"vapC7","CDS","Rv0661c"
NA,50,NA,50,"vapB7","CDS","Rv0662c"
NA,26.9230769230769,5.76923076923077,67.3076923076923,"atsD","CDS","Rv0663"
NA,NA,NA,100,"vapB8","CDS","Rv0664"
100,NA,NA,NA,"vapC8","CDS","Rv0665"
20,40,20,20,"Rv0666","CDS","Rv0666"
4.61538461538462,23.0769230769231,6.15384615384615,66.1538461538461,"rpoB","CDS","Rv0667"
4.76190476190476,23.8095238095238,1.58730158730159,69.8412698412698,"rpoC","CDS","Rv0668"
2.5,42.5,10,45,"Rv0669c","CDS","Rv0669c"
9.09090909090909,36.3636363636364,9.09090909090909,45.4545454545455,"end","CDS","Rv0670"
NA,43.75,NA,56.25,"lpqP","CDS","Rv0671"
NA,34.4827586206897,NA,65.5172413793103,"fadE8","CDS","Rv0672"
NA,12.5,6.25,81.25,"echA4","CDS","Rv0673"
NA,50,10,40,"Rv0674","CDS","Rv0674"
13.3333333333333,20,6.66666666666667,60,"echA5","CDS","Rv0675"
2.22222222222222,37.7777777777778,4.44444444444444,55.5555555555556,"mmpL5","CDS","Rv0676c"
NA,22.2222222222222,11.1111111111111,66.6666666666667,"mmpS5","CDS","Rv0677c"
NA,60,NA,40,"Rv0678","CDS","Rv0678"
NA,25,NA,75,"Rv0679c","CDS","Rv0679c"
NA,NA,25,75,"Rv0680c","CDS","Rv0680c"
NA,33.3333333333333,NA,66.6666666666667,"Rv0681","CDS","Rv0681"
16.6666666666667,16.6666666666667,16.6666666666667,50,"rpsL","CDS","Rv0682"
11.1111111111111,44.4444444444444,11.1111111111111,33.3333333333333,"rpsG","CDS","Rv0683"
3.2258064516129,22.5806451612903,3.2258064516129,70.9677419354839,"fusA1","CDS","Rv0684"
5,40,5,50,"tuf","CDS","Rv0685"
NA,27.2727272727273,9.09090909090909,63.6363636363636,"Rv0686","CDS","Rv0686"
6.66666666666667,20,26.6666666666667,46.6666666666667,"Rv0687","CDS","Rv0687"
NA,31.5789473684211,5.26315789473684,63.1578947368421,"Rv0688","CDS","Rv0688"
NA,16.6666666666667,16.6666666666667,66.6666666666667,"Rv0689c","CDS","Rv0689c"
3.84615384615385,26.9230769230769,19.2307692307692,50,"Rv0690c","CDS","Rv0690c"
50,NA,50,NA,"Rv0691A","CDS","Rv0691A"
20,40,NA,40,"Rv0691c","CDS","Rv0691c"
22.2222222222222,33.3333333333333,11.1111111111111,33.3333333333333,"Rv0692","CDS","Rv0692"
NA,40,12,48,"pqqE","CDS","Rv0693"
3.84615384615385,34.6153846153846,19.2307692307692,42.3076923076923,"lldD1","CDS","Rv0694"
NA,33.3333333333333,11.1111111111111,55.5555555555556,"Rv0695","CDS","Rv0695"
7.69230769230769,11.5384615384615,15.3846153846154,65.3846153846154,"Rv0696","CDS","Rv0696"
11.7647058823529,14.7058823529412,23.5294117647059,50,"Rv0697","CDS","Rv0697"
11.1111111111111,33.3333333333333,22.2222222222222,33.3333333333333,"Rv0698","CDS","Rv0698"
NA,NA,NA,100,"Rv0699","CDS","Rv0699"
NA,14.2857142857143,NA,85.7142857142857,"rpsJ","CDS","Rv0700"
11.1111111111111,22.2222222222222,22.2222222222222,44.4444444444444,"rplC","CDS","Rv0701"
NA,27.2727272727273,NA,72.7272727272727,"rplD","CDS","Rv0702"
NA,16.6666666666667,NA,83.3333333333333,"rplW","CDS","Rv0703"
11.7647058823529,17.6470588235294,5.88235294117647,64.7058823529412,"rplB","CDS","Rv0704"
NA,20,20,60,"rpsS","CDS","Rv0705"
NA,42.8571428571429,7.14285714285714,50,"rplV","CDS","Rv0706"
9.09090909090909,27.2727272727273,9.09090909090909,54.5454545454545,"rpsC","CDS","Rv0707"
22.2222222222222,33.3333333333333,NA,44.4444444444444,"rplP","CDS","Rv0708"
NA,50,NA,50,"rpmC","CDS","Rv0709"
11.1111111111111,33.3333333333333,11.1111111111111,44.4444444444444,"rpsQ","CDS","Rv0710"
7.40740740740741,33.3333333333333,14.8148148148148,44.4444444444444,"atsA","CDS","Rv0711"
7.14285714285714,21.4285714285714,10.7142857142857,60.7142857142857,"Rv0712","CDS","Rv0712"
NA,12.5,20.8333333333333,66.6666666666667,"Rv0713","CDS","Rv0713"
NA,33.3333333333333,NA,66.6666666666667,"rplN","CDS","Rv0714"
NA,33.3333333333333,NA,66.6666666666667,"rplX","CDS","Rv0715"
NA,28.5714285714286,14.2857142857143,57.1428571428571,"rplE","CDS","Rv0716"
NA,33.3333333333333,NA,66.6666666666667,"rpsN1","CDS","Rv0717"
20,20,NA,60,"rpsH","CDS","Rv0718"
NA,45.4545454545455,9.09090909090909,45.4545454545455,"rplF","CDS","Rv0719"
NA,NA,NA,100,"rplR","CDS","Rv0720"
NA,NA,NA,100,"rpsE","CDS","Rv0721"
NA,100,NA,NA,"rpmD","CDS","Rv0722"
NA,40,NA,60,"rplO","CDS","Rv0723"
NA,40,20,40,"Rv0724A","CDS","Rv0724A"
7.5,25,7.5,60,"sppA","CDS","Rv0724"
NA,13.6363636363636,13.6363636363636,72.7272727272727,"Rv0725c","CDS","Rv0725c"
7.69230769230769,23.0769230769231,19.2307692307692,50,"Rv0726c","CDS","Rv0726c"
7.69230769230769,30.7692307692308,7.69230769230769,53.8461538461538,"fucA","CDS","Rv0727c"
15,35,5,45,"serA2","CDS","Rv0728c"
3.44827586206897,24.1379310344828,10.3448275862069,62.0689655172414,"xylB","CDS","Rv0729"
NA,40,20,40,"Rv0730","CDS","Rv0730"
NA,36.3636363636364,9.09090909090909,54.5454545454545,"Rv0731c","CDS","Rv0731c"
NA,27.7777777777778,5.55555555555556,66.6666666666667,"secY","CDS","Rv0732"
NA,14.2857142857143,14.2857142857143,71.4285714285714,"adk","CDS","Rv0733"
NA,23.0769230769231,7.69230769230769,69.2307692307692,"mapA","CDS","Rv0734"
NA,25,NA,75,"sigL","CDS","Rv0735"
6.25,31.25,NA,62.5,"rslA","CDS","Rv0736"
NA,60,NA,40,"Rv0737","CDS","Rv0737"
5.55555555555556,50,11.1111111111111,33.3333333333333,"Rv0738","CDS","Rv0738"
5.26315789473684,21.0526315789474,15.7894736842105,57.8947368421053,"Rv0739","CDS","Rv0739"
NA,30.7692307692308,7.69230769230769,61.5384615384615,"Rv0740","CDS","Rv0740"
NA,60,20,20,"Rv0741","CDS","Rv0741"
NA,42.8571428571429,NA,57.1428571428571,"PE_PGRS8","CDS","Rv0742"
11.1111111111111,NA,11.1111111111111,77.7777777777778,"Rv0743c","CDS","Rv0743c"
16.6666666666667,16.6666666666667,NA,66.6666666666667,"Rv0744c","CDS","Rv0744c"
11.1111111111111,16.6666666666667,22.2222222222222,50,"Rv0745","CDS","Rv0745"
NA,27.7777777777778,NA,72.2222222222222,"PE_PGRS9","CDS","Rv0746"
NA,68.4210526315789,NA,31.5789473684211,"PE_PGRS10","CDS","Rv0747"
NA,NA,NA,100,"vapB31","CDS","Rv0748"
NA,NA,NA,100,"Rv0749A","CDS","Rv0749A"
7.69230769230769,38.4615384615385,NA,53.8461538461538,"vapC31","CDS","Rv0749"
NA,14.2857142857143,14.2857142857143,71.4285714285714,"Rv0750","CDS","Rv0750"
NA,37.5,NA,62.5,"mmsB","CDS","Rv0751c"
NA,36.3636363636364,NA,63.6363636363636,"fadE9","CDS","Rv0752c"
3.44827586206897,31.0344827586207,3.44827586206897,62.0689655172414,"mmsA","CDS","Rv0753c"
NA,40.5405405405405,5.40540540540541,54.0540540540541,"PE_PGRS11","CDS","Rv0754"
NA,NA,NA,NA,"Rv0755A","CDS","Rv0755A"
6.66666666666667,26.6666666666667,20,46.6666666666667,"PPE12","CDS","Rv0755c"
NA,50,7.14285714285714,42.8571428571429,"Rv0756c","CDS","Rv0756c"
18.1818181818182,27.2727272727273,18.1818181818182,36.3636363636364,"phoP","CDS","Rv0757"
3.44827586206897,34.4827586206897,10.3448275862069,51.7241379310345,"phoR","CDS","Rv0758"
NA,57.1428571428571,14.2857142857143,28.5714285714286,"Rv0759c","CDS","Rv0759c"
NA,20,NA,80,"Rv0760c","CDS","Rv0760c"
NA,11.7647058823529,5.88235294117647,82.3529411764706,"adhB","CDS","Rv0761c"
12.5,25,25,37.5,"Rv0762c","CDS","Rv0762c"
NA,83.3333333333333,NA,16.6666666666667,"Rv0763c","CDS","Rv0763c"
4.16666666666667,29.1666666666667,16.6666666666667,50,"cyp51","CDS","Rv0764c"
5.55555555555556,33.3333333333333,11.1111111111111,50,"Rv0765c","CDS","Rv0765c"
4.76190476190476,33.3333333333333,4.76190476190476,57.1428571428571,"cyp123","CDS","Rv0766c"
18.1818181818182,45.4545454545455,NA,36.3636363636364,"Rv0767c","CDS","Rv0767c"
7.69230769230769,15.3846153846154,11.5384615384615,65.3846153846154,"aldA","CDS","Rv0768"
NA,42.8571428571429,NA,57.1428571428571,"Rv0769","CDS","Rv0769"
5.55555555555556,5.55555555555556,16.6666666666667,72.2222222222222,"Rv0770","CDS","Rv0770"
NA,60,20,20,"Rv0771","CDS","Rv0771"
4.34782608695652,30.4347826086957,8.69565217391304,56.5217391304348,"purD","CDS","Rv0772"
5.71428571428571,40,14.2857142857143,40,"ggtA","CDS","Rv0773c"
3.44827586206897,31.0344827586207,17.2413793103448,48.2758620689655,"Rv0774c","CDS","Rv0774c"
11.1111111111111,22.2222222222222,11.1111111111111,55.5555555555556,"Rv0775","CDS","Rv0775"
5.55555555555556,27.7777777777778,5.55555555555556,61.1111111111111,"Rv0776c","CDS","Rv0776c"
NA,20,NA,80,"purB","CDS","Rv0777"
11.5384615384615,26.9230769230769,7.69230769230769,53.8461538461538,"cyp126","CDS","Rv0778"
NA,33.3333333333333,8.33333333333333,58.3333333333333,"Rv0779c","CDS","Rv0779c"
20,15,NA,65,"purC","CDS","Rv0780"
6.66666666666667,26.6666666666667,33.3333333333333,33.3333333333333,"ptrBa","CDS","Rv0781"
15.625,15.625,6.25,62.5,"ptrBb","CDS","Rv0782"
2.85714285714286,22.8571428571429,17.1428571428571,57.1428571428571,"emrB","CDS","Rv0783c"
NA,11.1111111111111,22.2222222222222,66.6666666666667,"Rv0784","CDS","Rv0784"
6.45161290322581,35.4838709677419,6.45161290322581,51.6129032258064,"Rv0785","CDS","Rv0785"
9.09090909090909,45.4545454545455,9.09090909090909,36.3636363636364,"Rv0786c","CDS","Rv0786c"
NA,33.3333333333333,NA,66.6666666666667,"Rv0787A","CDS","Rv0787A"
12,4,12,72,"Rv0787","CDS","Rv0787"
18.1818181818182,27.2727272727273,NA,54.5454545454545,"purQ","CDS","Rv0788"
7.69230769230769,30.7692307692308,15.3846153846154,46.1538461538462,"Rv0789c","CDS","Rv0789c"
NA,46.6666666666667,6.66666666666667,46.6666666666667,"Rv0790c","CDS","Rv0790c"
12,28,16,44,"Rv0791c","CDS","Rv0791c"
NA,44.4444444444444,5.55555555555556,50,"Rv0792c","CDS","Rv0792c"
14.2857142857143,28.5714285714286,14.2857142857143,42.8571428571429,"Rv0793","CDS","Rv0793"
4,32,24,40,"Rv0794c","CDS","Rv0794c"
NA,25,25,50,"Rv0795","CDS","Rv0795"
6.25,31.25,25,37.5,"Rv0796","CDS","Rv0796"
8.33333333333333,58.3333333333333,8.33333333333333,25,"Rv0797","CDS","Rv0797"
7.14285714285714,42.8571428571429,7.14285714285714,42.8571428571429,"cfp29","CDS","Rv0798c"
8,20,28,44,"Rv0799c","CDS","Rv0799c"
4.16666666666667,16.6666666666667,8.33333333333333,70.8333333333333,"pepC","CDS","Rv0800"
28.5714285714286,57.1428571428571,NA,14.2857142857143,"Rv0801","CDS","Rv0801"
7.14285714285714,21.4285714285714,7.14285714285714,64.2857142857143,"Rv0802c","CDS","Rv0802c"
2.56410256410256,41.025641025641,5.12820512820513,51.2820512820513,"purL","CDS","Rv0803"
7.69230769230769,NA,NA,92.3076923076923,"Rv0804","CDS","Rv0804"
4.54545454545455,18.1818181818182,13.6363636363636,63.6363636363636,"Rv0805","CDS","Rv0805"
15,25,7.5,52.5,"cpsY","CDS","Rv0806c"
9.09090909090909,36.3636363636364,36.3636363636364,18.1818181818182,"Rv0807","CDS","Rv0807"
NA,39.2857142857143,14.2857142857143,46.4285714285714,"purF","CDS","Rv0808"
NA,38.8888888888889,NA,61.1111111111111,"purM","CDS","Rv0809"
NA,NA,NA,100,"Rv0810c","CDS","Rv0810c"
15.3846153846154,26.9230769230769,7.69230769230769,50,"Rv0811c","CDS","Rv0811c"
11.1111111111111,22.2222222222222,5.55555555555556,61.1111111111111,"Rv0812","CDS","Rv0812"
10,20,30,40,"Rv0813c","CDS","Rv0813c"
NA,75,NA,25,"sseC2","CDS","Rv0814c"
7.14285714285714,21.4285714285714,NA,71.4285714285714,"cysA2","CDS","Rv0815c"
NA,30,20,50,"thiX","CDS","Rv0816c"
NA,40,13.3333333333333,46.6666666666667,"Rv0817c","CDS","Rv0817c"
NA,31.25,6.25,62.5,"Rv0818","CDS","Rv0818"
10,35,15,40,"mshD","CDS","Rv0819"
NA,57.1428571428571,14.2857142857143,28.5714285714286,"phoT","CDS","Rv0820"
NA,40,20,40,"phoY2","CDS","Rv0821c"
3.84615384615385,40.3846153846154,11.5384615384615,44.2307692307692,"Rv0822c","CDS","Rv0822c"
NA,32,12,56,"Rv0823c","CDS","Rv0823c"
7.14285714285714,42.8571428571429,7.14285714285714,42.8571428571429,"desA1","CDS","Rv0824c"
NA,27.2727272727273,18.1818181818182,54.5454545454545,"Rv0825c","CDS","Rv0825c"
5.88235294117647,20.5882352941176,11.7647058823529,61.7647058823529,"Rv0826","CDS","Rv0826"
28.5714285714286,42.8571428571429,NA,28.5714285714286,"kmtR","CDS","Rv0827c"
NA,36.3636363636364,NA,63.6363636363636,"Rv0828c","CDS","Rv0828c"
25,12.5,37.5,25,"Rv0829","CDS","Rv0829"
NA,21.4285714285714,14.2857142857143,64.2857142857143,"Rv0830","CDS","Rv0830"
NA,57.8947368421053,10.5263157894737,31.5789473684211,"Rv0831c","CDS","Rv0831c"
NA,28.5714285714286,NA,71.4285714285714,"PE_PGRS12","CDS","Rv0832"
5.88235294117647,64.7058823529412,NA,29.4117647058824,"PE_PGRS13","CDS","Rv0833"
10.5263157894737,42.1052631578947,5.26315789473684,42.1052631578947,"PE_PGRS14","CDS","Rv0834c"
NA,20,NA,80,"lpqQ","CDS","Rv0835"
13.3333333333333,20,20,46.6666666666667,"Rv0836c","CDS","Rv0836c"
8.33333333333333,37.5,8.33333333333333,45.8333333333333,"Rv0837c","CDS","Rv0837c"
5.26315789473684,31.5789473684211,26.3157894736842,36.8421052631579,"lpqR","CDS","Rv0838"
7.14285714285714,21.4285714285714,14.2857142857143,57.1428571428571,"Rv0839","CDS","Rv0839"
18.75,25,6.25,50,"pip","CDS","Rv0840c"
14.2857142857143,14.2857142857143,14.2857142857143,57.1428571428571,"Rv0841","CDS","Rv0841"
15,5,15,65,"Rv0842","CDS","Rv0842"
12.5,12.5,18.75,56.25,"Rv0843","CDS","Rv0843"
NA,41.6666666666667,8.33333333333333,50,"narL","CDS","Rv0844c"
NA,40,26.6666666666667,33.3333333333333,"Rv0845","CDS","Rv0845"
7.31707317073171,41.4634146341463,17.0731707317073,34.1463414634146,"Rv0846c","CDS","Rv0846c"
NA,21.4285714285714,21.4285714285714,57.1428571428571,"lpqS","CDS","Rv0847"
13.3333333333333,40,6.66666666666667,40,"cysK2","CDS","Rv0848"
6.66666666666667,33.3333333333333,26.6666666666667,33.3333333333333,"Rv0849","CDS","Rv0849"
